timestamp,open,high,low,close,volume
2018-10-19,1998.0000,2018.2000,1959.0500,1965.8000,564136
2018-10-12,1975.0000,1996.2500,1920.7500,1979.0000,2308822
2018-10-05,2015.0000,2052.0000,1941.0000,1962.8500,1564244
2018-09-28,1971.0000,2014.4000,1915.0500,2005.6500,1235022
2018-09-21,2024.0000,2024.0000,1913.8000,1968.8500,1052316
2018-09-14,2050.0000,2057.0000,1990.0000,2029.2000,1408854
2018-09-07,2067.0000,2080.0000,2033.0000,2057.8500,599632
2018-08-31,2114.0000,2114.0000,2055.0000,2062.2500,857592
2018-08-24,2080.0000,2111.9000,2066.5500,2070.5500,471928
2018-08-17,2075.0000,2104.8000,2066.4000,2077.2500,464840
2018-08-10,2124.9000,2150.0000,2098.5000,2115.0000,1317986
2018-08-03,2204.1500,2204.1500,2115.0500,2121.0000,660044
2018-07-27,2157.0000,2212.5000,2139.9500,2203.4000,689902
2018-07-20,2180.0000,2219.0500,2163.8000,2190.1000,643212
2018-07-13,2116.5000,2189.2500,2108.7500,2180.7000,896266
2018-07-06,2086.2500,2134.5000,2065.0000,2114.0500,529934
2018-06-29,2085.0000,2140.0000,2074.3000,2108.0500,618444
2018-06-22,2035.7000,2087.7000,2009.7500,2081.8000,969202
2018-06-15,2052.0000,2062.3500,2020.9000,2030.7000,553200
2018-06-08,2154.2000,2170.0500,2025.0000,2050.1000,2256190
2018-06-01,2015.0000,2150.0000,2010.0000,2109.5500,1435220
2018-05-25,2004.7500,2021.9000,1957.0000,2011.6500,1018412
2018-05-18,2017.0000,2064.9000,2005.0000,2012.9000,1418830
2018-05-11,1984.5000,2015.9500,1955.0000,2010.6500,1071310
2018-05-04,1929.0000,1989.9500,1928.5000,1987.8500,531174
2018-04-27,1984.0000,1984.0000,1894.8500,1922.8500,1386928
2018-04-20,1923.9000,1967.9000,1922.3500,1960.9500,383416
2018-04-13,1922.5000,1950.0000,1904.8500,1928.0500,369544
2018-04-06,1892.0000,1934.5000,1880.2500,1922.7000,631018
2018-03-28,1841.0000,1910.3000,1834.6000,1891.4500,560452
2018-03-23,1859.9000,1880.4500,1836.0000,1839.6000,907940
2018-03-16,1855.4000,1898.8500,1850.0000,1857.5000,892288
2018-03-09,1875.0000,1879.2500,1830.0000,1853.2000,1643980
2018-03-01,1888.0000,1922.5000,1872.0000,1877.7500,430732
2018-02-23,1881.2500,1887.0000,1842.0000,1879.8000,456000
2018-02-16,1860.0000,1897.9500,1859.4500,1879.7500,459242
2018-02-09,1930.0000,1935.0000,1837.0000,1852.6000,1200366
2018-02-02,1975.0000,2014.0000,1938.0000,1948.8000,1130214
2018-01-25,1960.0000,1986.0000,1944.1000,1970.2500,3023696
2018-01-19,1865.0000,1959.8000,1861.0000,1951.2000,1147266
2018-01-12,1865.0000,1878.4000,1855.6500,1865.6500,366010
2018-01-05,1873.0000,1880.2000,1832.9500,1860.4500,522618
2017-12-29,1877.3500,1880.0000,1851.1000,1873.5500,490376
2017-12-22,1863.0000,1905.0000,1811.3000,1877.3500,2021476
2017-12-15,1830.2000,1887.4500,1814.0000,1873.0500,7994582
2017-12-08,1850.0000,1852.1500,1797.4500,1839.9500,791160
2017-12-01,1852.0000,1875.0000,1841.1500,1843.6000,367076
2017-11-24,1827.0000,1862.0000,1827.0000,1851.0500,345538
2017-11-17,1822.0000,1836.7500,1791.3000,1827.1000,544542
2017-11-10,1830.0000,1843.7000,1806.0000,1819.2000,4927220
2017-11-03,1800.0000,1839.6500,1793.0500,1831.2500,504956
2017-10-27,1850.3500,1876.9500,1685.0000,1793.1000,2319032
2017-10-18,1855.5500,1875.2000,1841.0000,1869.6000,264310
2017-10-13,1800.0000,1856.7500,1786.7000,1853.4500,502186
2017-10-06,1806.0000,1820.3500,1793.2500,1799.3000,500150
2017-09-29,1825.0500,1826.0000,1765.3500,1803.0500,751414
2017-09-22,1850.0000,1868.0000,1821.5000,1824.5500,953548
2017-09-15,1795.0000,1851.0000,1793.0000,1848.8500,752214
2017-09-08,1767.9000,1791.3000,1740.0000,1788.0000,606966
2017-09-01,1775.0000,1780.3500,1738.5000,1768.4000,454698
2017-08-24,1755.0000,1777.9500,1737.5000,1765.5500,258544
2017-08-18,1755.0000,1789.0000,1745.0000,1753.7000,380440
2017-08-11,1792.0000,1796.0000,1732.8000,1751.3500,769864
2017-08-04,1778.0000,1810.0000,1766.1000,1791.2500,565562
2017-07-28,1712.0000,1797.8500,1696.0000,1778.5500,1348378
2017-07-21,1679.0000,1715.0000,1675.8500,1703.3500,450692
2017-07-14,1668.0000,1691.9500,1661.7500,1681.0000,2216872
2017-07-07,1653.0000,1668.0000,1646.0000,1665.3500,407878
2017-06-30,1698.0000,1698.0000,1644.0500,1652.2500,620266
2017-06-23,1670.0000,1715.6000,1668.0500,1678.5500,717088
2017-06-16,1663.0000,1691.9000,1656.0000,1668.0000,1017956
2017-06-09,1639.0000,1670.0000,1625.5500,1666.9000,413312
2017-06-02,1626.0000,1648.0000,1616.7500,1635.8000,451332
2017-05-26,1566.0000,1631.5000,1562.0500,1625.7000,656308
2017-05-19,1550.0000,1568.0000,1541.0000,1559.9500,423428
2017-05-12,1537.8500,1560.0000,1529.1000,1548.5000,1195064
2017-05-05,1551.0000,1554.2500,1524.3500,1532.1000,1049074
2017-04-28,1500.0000,1572.3000,1497.1000,1542.1500,2841102
2017-04-21,1440.0000,1500.0000,1428.4500,1496.7500,1996680
2017-04-13,1439.0000,1449.7500,1431.5000,1439.3500,647156
2017-04-07,1445.0000,1448.8000,1425.0000,1438.7500,564320
2017-03-31,1424.8500,1478.0000,1406.0000,1442.3000,3493736
2017-03-24,1426.0000,1445.0000,1422.0000,1424.8500,7104818
2017-03-17,1425.0000,1428.0000,1407.6500,1426.0000,1645432
2017-03-10,1380.0000,1405.0000,1375.0000,1400.2000,1528914
2017-03-03,1392.0000,1400.0000,1369.2500,1376.5500,1688154
2017-02-23,1364.0000,1420.0000,1360.1000,1394.7000,1094824
2017-02-17,1310.0000,1450.0000,1299.6000,1377.1500,11600598
2017-02-10,1315.1000,1320.0000,1294.0000,1304.5000,554588
2017-02-03,1293.0000,1316.5000,1278.0000,1311.3000,1232812
2017-01-27,1236.0000,1300.0000,1235.0000,1293.0000,683100
2017-01-20,1244.9000,1255.4000,1231.2000,1236.6500,9164738
2017-01-13,1200.0000,1243.2000,1191.2000,1232.6500,3253612
2017-01-06,1205.0000,1209.2000,1181.7500,1193.2000,2865022
2016-12-30,1181.0000,1210.1500,1171.0000,1204.2000,944324
2016-12-23,1180.9000,1189.0000,1169.0500,1186.4500,518286
2016-12-16,1195.0000,1195.0000,1165.0000,1181.0000,905144
2016-12-09,1192.0000,1209.3000,1168.7000,1198.1000,905102
2016-12-02,1181.8000,1209.8000,1176.6500,1191.2000,925750
2016-11-25,1215.0500,1219.7500,1159.3000,1189.1500,816940
2016-11-18,1283.0000,1288.0000,1208.3500,1211.6000,661040
2016-11-11,1250.0000,1282.0000,1196.5000,1275.7000,3051944
2016-11-04,1253.7000,1263.0000,1232.2000,1243.7000,1192396
2016-10-28,1274.9500,1275.9500,1225.0000,1259.4000,959912
