price,date,volume
MYR RM3.49,"Nov 4, 2022",1.8M
MYR RM3.57,"Nov 11, 2022",1.1M
MYR RM3.57,"Nov 11, 2022",1.1M
MYR RM3.49,"Nov 17, 2022",1.1M
MYR RM3.49,"Nov 17, 2022",1.1M
MYR RM3.65,"Nov 25, 2022",355K
MYR RM3.65,"Nov 25, 2022",355K
MYR RM3.65,"Nov 25, 2022",355K
MYR RM3.89,"Dec 2, 2022",2.6M
MYR RM3.89,"Dec 2, 2022",2.6M
MYR RM3.97,"Dec 9, 2022",838K
MYR RM3.97,"Dec 9, 2022",838K
MYR RM3.90,"Dec 16, 2022",881K
MYR RM3.90,"Dec 16, 2022",881K
MYR RM3.90,"Dec 16, 2022",881K
MYR RM3.83,"Dec 23, 2022",1.3M
MYR RM3.83,"Dec 23, 2022",1.3M
MYR RM3.83,"Dec 30, 2022",423K
MYR RM3.83,"Dec 30, 2022",423K
MYR RM3.80,"Jan 6, 2023",1.9M
MYR RM3.80,"Jan 6, 2023",1.9M
MYR RM3.80,"Jan 6, 2023",1.9M
MYR RM4.00,"Jan 13, 2023",2.6M
MYR RM4.00,"Jan 13, 2023",2.6M
MYR RM3.90,"Jan 20, 2023",1.3M
MYR RM3.90,"Jan 20, 2023",1.3M
MYR RM4.10,"Jan 27, 2023",660K
MYR RM4.10,"Jan 27, 2023",660K
MYR RM4.10,"Jan 27, 2023",660K
MYR RM4.13,"Feb 3, 2023",2.5M
MYR RM4.13,"Feb 3, 2023",2.5M
MYR RM4.10,"Feb 10, 2023",1.1M
MYR RM4.10,"Feb 10, 2023",1.1M
MYR RM4.10,"Feb 10, 2023",1.1M
MYR RM3.89,"Feb 17, 2023",1.8M
MYR RM3.89,"Feb 17, 2023",1.8M
MYR RM3.99,"Feb 24, 2023",665K
MYR RM3.99,"Feb 24, 2023",665K
MYR RM4.00,"Mar 3, 2023",714K
MYR RM4.00,"Mar 3, 2023",714K
MYR RM4.00,"Mar 3, 2023",714K
MYR RM3.83,"Mar 10, 2023",2.2M
MYR RM3.83,"Mar 10, 2023",2.2M
MYR RM3.78,"Mar 17, 2023",2.6M
MYR RM3.78,"Mar 17, 2023",2.6M
MYR RM3.93,"Mar 24, 2023",907K
MYR RM3.93,"Mar 24, 2023",907K
MYR RM3.93,"Mar 24, 2023",907K
MYR RM3.99,"Mar 31, 2023",1M
MYR RM3.99,"Mar 31, 2023",1M
MYR RM3.91,"Apr 7, 2023",435K
MYR RM3.91,"Apr 7, 2023",435K
MYR RM3.99,"Apr 14, 2023",648K
MYR RM3.99,"Apr 14, 2023",648K
MYR RM3.99,"Apr 14, 2023",648K
MYR RM3.98,"Apr 20, 2023",294K
MYR RM3.98,"Apr 20, 2023",294K
MYR RM4.00,"Apr 28, 2023",229K
MYR RM4.00,"Apr 28, 2023",229K
MYR RM3.91,"May 5, 2023",341K
MYR RM3.91,"May 5, 2023",341K
MYR RM3.91,"May 5, 2023",341K
MYR RM3.91,"May 12, 2023",816K
MYR RM3.91,"May 12, 2023",816K
MYR RM3.95,"May 19, 2023",1M
MYR RM3.95,"May 19, 2023",1M
MYR RM3.88,"May 26, 2023",272K
MYR RM3.88,"May 26, 2023",272K
MYR RM3.88,"May 26, 2023",272K
MYR RM3.94,"Jun 2, 2023",270K
MYR RM3.94,"Jun 2, 2023",270K
MYR RM3.95,"Jun 9, 2023",512K
MYR RM3.95,"Jun 9, 2023",512K
MYR RM4.00,"Jun 16, 2023",3.2M
MYR RM4.00,"Jun 16, 2023",3.2M
MYR RM4.00,"Jun 16, 2023",3.2M
MYR RM3.95,"Jun 23, 2023",1.1M
MYR RM3.95,"Jun 23, 2023",1.1M
MYR RM3.99,"Jun 30, 2023",1.3M
MYR RM3.99,"Jun 30, 2023",1.3M
MYR RM3.95,"Jul 7, 2023",1.7M
MYR RM3.95,"Jul 7, 2023",1.7M
MYR RM3.95,"Jul 7, 2023",1.7M
MYR RM4.01,"Jul 14, 2023",3.9M
MYR RM4.01,"Jul 14, 2023",3.9M
MYR RM4.10,"Jul 21, 2023",5.4M
MYR RM4.10,"Jul 21, 2023",5.4M
MYR RM3.93,"Jul 28, 2023",3.6M
MYR RM3.93,"Jul 28, 2023",3.6M
MYR RM3.93,"Jul 28, 2023",3.6M
